blk2010ge,blk2020ge,weight
550019501002055,550019501002016,1.000000000000
550019501002056,550019501002010,1.000000000000
550019501002057,550019501002008,1.000000000000
550019501002058,550019501002009,1.000000000000
550019501003000,550019501004000,1.000000000000
550019501003001,550019501004001,1.000000000000
550019501003002,550019501004002,1.000000000000
550019501003003,550019501004003,1.000000000000
550019501003004,550019501004004,1.000000000000
550019501003005,550019501004005,1.000000000000
550019501003006,550019501004006,1.000000000000
550019501003007,550019501004007,1.000000000000
550019501003008,550019501004008,1.000000000000
550019501003009,550019501004009,1.000000000000
550019501003010,550019501004010,1.000000000000
550019501003010,550019501004017,0.000000000000
550019501003011,550019501004020,1.000000000000
550019501003012,550019501004011,1.000000000000
550019501003013,550019501004011,1.000000000000
550019501003014,550019501004027,1.000000000000
550019501003015,550019501004023,1.000000000000
550019501003016,550019501004024,1.000000000000
550019501003017,550019501004024,1.000000000000
550019501003018,550019501004022,1.000000000000
550019501003019,550019501004024,1.000000000000
550019501003020,550019501004011,0.951327077110
550019501003020,550019501004050,0.012770041297
550019501003020,550019501004052,0.001577119800
550019501003020,550571001001000,0.000812431200
550019501003020,550571001001436,0.033513330593
550019501003021,550019501004018,1.000000000000
550019501003021,550019501004019,0.000000000000
550019501003022,550019501004015,1.000000000000
550019501003023,550019501004011,1.000000000000
550019501003024,550019501004012,1.000000000000
550019501003025,550019501004015,1.000000000000
550019501003026,550019501004011,1.000000000000
550019501003027,550019501004015,1.000000000000
550019501003028,550019501004051,1.000000000000
550019501003029,550019501004011,0.853915847915
550019501003029,550019501004013,0.091094546391
550019501003029,550019501004016,0.026299939797
550019501003029,550571001001437,0.027669660797
550019501003029,550571001001438,0.001020005100
550019501003030,550019501004011,1.000000000000
550019501003031,550019501003000,1.000000000000
550019501003032,550019501003001,1.000000000000
550019501003033,550019501003002,1.000000000000
550019501003034,550019501003002,1.000000000000
550019501003035,550019501004025,1.000000000000
550019501003036,550019501004025,1.000000000000
550019501003037,550019501004025,1.000000000000
